[2025-08-14 12:30:19] [alumi136] 查詢異常件報告成功，日期範圍: 2025-08-01 至 2025-08-14，共 42 筆。
[2025-08-14 12:31:17] [alumi136] 查詢異常件報告成功，日期範圍: 2025-07-27 至 2025-08-14，共 46 筆。
[2025-08-14 12:43:19] [alumi136] 查詢異常件報告成功，日期範圍: 2025-07-27 至 2025-08-14，狀態: ALL，共 46 筆。
[2025-08-14 12:43:33] [alumi136] 查詢異常件報告成功，日期範圍: 2025-07-27 至 2025-08-14，狀態: 1，共 2 筆。
[2025-08-14 12:43:50] [alumi136] 查詢異常件報告成功，日期範圍: 2025-07-27 至 2025-08-14，狀態: 2，共 7 筆。
[2025-08-14 12:44:39] [alumi136] 查詢異常件報告成功，日期範圍: 2025-07-27 至 2025-08-14，狀態: 2，共 7 筆。
[2025-08-14 12:44:46] [alumi136] 查詢異常件報告成功，日期範圍: 2025-07-27 至 2025-08-14，狀態: 2，共 7 筆。
[2025-08-14 13:20:52] [alumi136] 查詢異常件報告成功，日期範圍: 2025-08-01 至 2025-08-14，狀態: ALL，共 42 筆。
[2025-08-14 13:32:00] [alumi136] 查詢異常件報告成功，日期範圍: 2025-08-01 至 2025-08-14，狀態: ALL，共 20 筆。
[2025-08-14 13:32:19] [alumi136] 查詢異常件報告成功，日期範圍: 2025-08-01 至 2025-08-14，狀態: ALL，共 20 筆。
[2025-08-14 13:33:32] [alumi136] 查詢異常件報告成功，日期範圍: 2025-08-01 至 2025-08-14，狀態: ALL，共 20 筆。
[2025-08-14 13:33:58] [alumi136] 查詢異常件報告成功，日期範圍: 2025-08-01 至 2025-08-14，狀態: 5，共 2 筆。
[2025-08-14 13:34:00] [alumi136] 查詢異常件報告成功，日期範圍: 2025-08-01 至 2025-08-14，狀態: 5，共 2 筆。
[2025-08-14 13:34:02] [alumi136] 查詢異常件報告成功，日期範圍: 2025-08-01 至 2025-08-14，狀態: 5，共 2 筆。
